更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-08-01,株式会社竹中工務店,ゼネコン,98,■企業概要：日本の大手ゼネコン5社中、非上場で最高の財務基盤を確立している優良企業です。江戸時代から、公共工事の類を受けることで自社のビジョンを曲げる圧力が掛かる事を嫌い、民需を中心に設計施工一貫をモットーとして質の高い堅実な仕事を続け、その姿勢が評価されています。携わった建築物を「作品」と呼び、社員は「最良の作品を世に遺し、社会に貢献する」という理念に基づき行動しています。,大阪府大阪市中央区本町4-1-13,1899,,7757,"50,000百万円",44.0,http://www.takenaka.co.jp/,
2024-08-01,株式会社長谷工コミュニティ,不動産管理,23,■事業内容：・マンション管理事業…事務管理業務、管理員業務、設備管理業務、清掃業務、総合監視業務に加えて、危機管理対策、長期修繕計画の作成および見直し、大規模修繕のコンサルタント業務、その他様々な生活支援サービスなどを通じて快適な居住生活をサポート・リフォーム事業部…日常的なマンションの維持修繕、設備に関する補修、部屋の補修などの業務を通じてきめ細かいサポート,東京都港区芝2-6-1長谷工芝二ビル,1978,,1306,"2,840百万円",,http://www.haseko-hcm.co.jp/,
2024-08-01,大成株式会社,設備管理・メンテナンス,10,業界トップクラスの企業として、ビルメンテナンス事業を国内外に展開しています。品質への評価は高く、名古屋や栄にある高層ビルや商業施設を中心に数多くの管理物件があります。長年の総合ビルメンテナンス事業で培った資産･関係性を基盤に事業領域を拡大し、「ビルサービス業」としてさらに事業を発展させていく中計ビジョンが進行中です。,愛知県名古屋市中区栄3-31-12大成ビル,1959,,5402,822百万円,44.4,https://www.taisei-bm.co.jp/,
2024-08-01,株式会社一条工務店,住宅（ハウスメーカー）,99+,■事業内容：木造戸建住宅事業・マンション事業・メガソーラー事業・メンテナンス事業・海外戸建住宅事業・住宅ローン事業など,東京都江東区木場5-10-10,1978,,6400,304百万円,,http://www.ichijo.co.jp/,
2024-08-01,アイング株式会社,設備管理・メンテナンス,9,■事業内容： ビルメンテナンス事業及び人材派遣業を手掛ける総合アウトソーシングカンパニーです。（1）ビルメンテナンス事業（2）空間創造事業(建設設計・施工管理等)（3）資産価値創造事業(コンビニ経営・保存販売・駐車場経営)（4）人材サービス事業,東京都千代田区麹町2-14,1973,,5668,99百万円,48.8,http://www.iing.co.jp,
2024-08-01,パナソニックホームズ株式会社,住宅（ハウスメーカー）,30,■企業概要：パナソニック グループの住宅部門を担う企業として、未来に向けたIoTやAIを生かしたスマートで豊かなくらしをご提供し、中長期を見据えた新たな成長分野へ事業領域を拡大することで、4事業のバランスの取れた推進により、さらなるくらし価値・環境貢献を目指します。(1)新築請負事業（スマートハウス・多層階住宅・賃貸住宅・高齢者向け住宅・木造住宅）(2)街づくり事業（スマートシティ、スマートマンション）(3)ストック事業（リフォーム・買取再販・不動産流通）(4)海外事業（アジアを中心にマンション・街づくり・戸建住宅）,大阪府豊中市新千里西町1-1-4,1963,,5470,"28,375百万円",45.2,https://homes.panasonic.com/,
2024-05-01,エームサービス株式会社,内装・インテリア・リフォーム,1,■概要：エームサービスは、1976年に三井物産株式会社と米国（サービスマネジメント大手）アラマーク社を含む企業グループの合弁により設立された給食事業会社です。「食」を軸に事業領域を広げ、幅広いサービスを提供しています。サッカーの国際大会やスポーツの祭典など、国を挙げての大イベントで、選手の食事サービスを提供するなど、社会的信用のある業界大手です。,東京都港区赤坂2-23-1アークヒルズフロントタワー,1976,,8517,100百万円,35.6,https://www.aimservices.co.jp/,
2024-08-01,グローブシップ株式会社,設備管理・メンテナンス,15,■事業内容：ビル総合管理・設備管理・保安警備・防災設備管理・清掃管理・環境衛生管理・マンション管理・庭園管理・各種営繕工事・省エネ関連・地域冷暖房運転管理・ビル管理コンサルティング・ファシリティマネジメント・プロパティマネジメント,東京都港区芝4-11-3芝フロントビル,2015,,5400,100百万円,,https://www.globeship.co.jp/,
2024-08-01,日本管財株式会社,不動産管理,17,■概要：長年にわたり業界のリーディングカンパニーとして数多くの不動産を管理し、様々なソリューションを提供し続けてきました。多様化、複雑化する不動産ニーズに対し総合的に対応する、いわば「不動産のフルライン・サービス・プロバイダ」です。これまで蓄積したノウハウと確かな実績をベースに、今後も新たな不動産戦略を実現していきます。,兵庫県西宮市六湛寺町9-16,1965,,5063,"3,000百万円",51.0,https://www.nkanzai.co.jp/,
2024-08-01,株式会社オープンハウスグループ,ディベロッパー,71,■ビジョン：誰にも真似のできない日本一の不動産会社を目指します。企業憲章に「やる気のある人を広く受け入れ、結果に報いる組織を作ります」という一文があります。完全に実力主義であり、優秀であれば年齢・経歴は一切関係なく要職に抜擢していく会社です。優秀な社員にますます活躍の場を与え、ポテンシャル社員にもいつでも飛躍できるチャンスを与え、圧倒的成長を続けて日本一となり、そして日本の年功序列によった風土に一石を投じたいと考えています。,東京都千代田区丸の内2-7-2JPタワー20F,1997,プライム市場,5828,"20,131百万円",29.0,http://oh.openhouse-group.com/,
2024-08-01,旭化成ホームズ株式会社,住宅（ハウスメーカー）,99+,■同社の特徴：旭化成グループの一員として安定基盤を持つ、業界トップクラスのハウスメーカーです。また、今まで培ってきた経験を活かせる業務を担当し、長期的に価値を発揮できるフィールドがあります。,東京都千代田区神田神保町1-105神保町三井ビルディング,1972,,7716,"3,250百万円",40.3,http://www.asahi-kasei.co.jp/j-koho/index.html/,
2024-08-01,水ｉｎｇ株式会社,プラントメーカー・プラントエンジニアリング,47,【(株)荏原製作所・三菱商事(株)・日揮(株)の三社提携による総合水事業会社】■事業内容： ・水処理プラント（上水・下水処理場）の設計、建設、保守管理。・機器・環境薬品の開発、販売、水質の検査、測定、分析業務。・資源再生技術の開発、発電プラントの設計、建設、保守管理。これらに係る経営・技術コンサルタント業務。,東京都港区東新橋1-9-2汐留住友ビル27F,1977,,4200,"5,500百万円",45.0,http://www.swing-w.com/,
2024-08-01,株式会社トヨタエンタプライズ,設備管理・メンテナンス,30,■事業概要：当社はトヨタ自動車の子会社として、いろいろな各種事業のノウハウから、以下の事業のみならず「お客様視点」でご要望に応じたカスタマイズの【総合サービス】をご提供しています。豊富な知識とノウハウを活かした業務支援・サポートで業務の効率化・品質向上に貢献しています。,愛知県名古屋市中村区名駅4-4-10名古屋クロスコートタワー5F,1952,,4332,120百万円,,https://www.toyota-ep.co.jp/,
2024-08-01,大東建託パートナーズ株式会社,不動産管理,5,■事業内容：賃貸マンション、アパート、事務所、倉庫等の総合的な管理業務（家賃、契約、建物管理）※管理戸数：123万戸（2023年7月末現在）,東京都港区港南2-16-1品川イーストワンタワー,1994,,4909,"1,000百万円",,https://www.kentaku-partners.co.jp/,
2024-08-01,共英製鋼株式会社,住宅設備・建材,4,■概要：当社は鉄スクラップから鋼材を作る普通鋼電炉メーカーとして業界トップクラスに位置し、ビル、マンションなどの建築物をはじめ、橋梁や道路に使われる鉄筋コンクリート用棒鋼では国内シェア1位の大手企業です。普通鋼電炉メーカーは高炉や商社系が多い中、当社は日本製鉄系の有力メーカーとして知られています。（1）鉄筋コンクリート用棒鋼・構造用棒鋼など各種鋼材、鉄鋼製品の製造・加工・販売 （2）一般・産業廃棄物、医療廃棄物の収集・運搬・処分業および自動車リサイクル事業ならびに廃棄物再生資源化事業 （3）鉄筋・ねじ節鉄筋加工と組立工事,大阪府大阪市北区堂島浜1-4-16アクア堂島西館18F,1947,プライム市場,793,"18,516百万円",40.2,https://www.kyoeisteel.co.jp/,
2024-08-01,三井不動産ファシリティーズ株式会社,設備管理・メンテナンス,28,■建物とその附帯設備の管理・保全・修繕■建物内外の保安・警備の請負■建物・施設管理に関する運営・全体管理業務の請負■建物の保全に関するコンサルティング・調査■建物の省エネルギーに関するコンサルティング・調査・運用改善の支援業務などの受託 ほか,東京都千代田区霞が関3-8-1 虎ノ門ダイビルイースト 9階,1957,,3921,4億9000万円,38.0,http://www.mitsui-fc.co.jp/,代表取締役社長 安井 清史
2024-08-01,株式会社穴吹ハウジングサービス,不動産管理,67,"■事業内容： （1）分譲マンション等の建物管理事業2019年度、増加戸数ランキング第1位(実績36,533戸)24時間365日対応しているあなぶきコールセンターでは、マンション情報を一元化し迅速かつ詳細な報告が可能な体制を整えています。（2）賃貸仲介・開発事業「部屋ナビShop」の運営。貸主・借主双方のサポートを行っています。（3）パーキング事業小資本で確実性の高い土地活用手法として""所有不動産の潜在価値を引き出す""ことが、パーキング事業のミッションです。（4）リフォーム・インテリア製品等販売事業（5）インシュアランス事業",香川県高松市紺屋町3-6穴吹ハウジング中央通りBLD.,1983,,3618,100百万円,40.4,http://www.anabuki-housing.co.jp/,
2024-08-01,ＪＦＥエンジニアリング株式会社,プラントメーカー・プラントエンジニアリング,49,■事業内容：【環境分野】廃棄物発電プラント、水処理（上下水）プラント など【エネルギー分野】パイプライン、LNG貯蔵基地等のエネルギープラント、再生可能エネルギーを利用した発電プラントなど【社会インフラ分野】鋼構造： 橋梁、ケーソン、ジャケットなど機械・システム： クレーン、エンジン、タービンなど【新規事業分野】アグリ（農業）プラント、バラスト水処理システム、物流システム,東京都千代田区内幸町2-2-3日比谷国際ビル22F,2003,,9500,"10,000百万円",43.9,http://www.jfe-eng.co.jp/,
2024-08-01,株式会社フジタ,ゼネコン,99,■事業内容：・建設工事の請負、企画、設計、監理及びコンサルティング業務・宇宙開発、海洋開発、地域開発、都市開発、資源開発及び環境整備等に関する調査、企画、設計、監理及びコンサルティング業務・不動産の売買、交換、賃貸、管理及びこれらの代理もしくは仲介に関する業務並びに不動産の鑑定評価・金融商品取引法に基づく第二種金融商品取引業、投資助言／代理業及び投資運用業・不動産特定共同事業法に基づく事業・宅地の造成及び分譲並びに住宅の建設及び分譲に関する業務 他,東京都渋谷区千駄ケ谷4-25-2修養団SYDビル,2002,,3398,"14,000百万円",,http://www.fujita.co.jp/,
2024-08-01,JFEプラントエンジ株式会社,プラントメーカー・プラントエンジニアリング,49,■事業内容：建設業（機械・電気設備備事業）各種プラント設備の開発、設計、製作、施工からメンテナンス、リニューアルまで、一貫して行える総合エンジニアリング企業です。JFEプラントエンジ株式会社は2016年、製鉄設備他のメンテナンス事業、およびエンジニアリング（設計・製作・据付）を担う機械系の「JFEメカニカル株式会社」と電気・制御系の「JFE電制株式会社」が統合し、誕生しました。当社はJFEスチール株式会社の鉄鋼プラント建設・保全で培った信頼性の高い技術を駆使し、暮らしや産業の発展に尽くしてまいりました。,東京都台東区蔵前2-17-4,1937,,3799,"1,770百万円",42.0,https://www.jfe-planteng.co.jp/,
2024-08-01,住友不動産販売株式会社,不動産仲介,99+,■事業概要：（1）不動産の売買、賃貸の仲介業務（2）不動産の売買の受託販売業務（3）不動産の賃貸業務（4）前各号に付帯関連する業務,東京都新宿区西新宿2-6-1,1975,,3353,"2,970百万円",,http://www.stepon.co.jp/,
2024-08-01,タマホーム株式会社,住宅（ハウスメーカー）,99+,■事業内容：・注文住宅および賃貸住宅の企画、建築、設計、販売、施工・各種金融商品の販売※「良い家を低価格で」という信念のもと、業界の常識を徹底的に見直すことで、業界の標準価格に対して挑戦を続けています。,東京都港区高輪3-22-9,1998,プライム市場,3329,"4,310百万円",38.4,http://www.tamahome.jp/,
2024-08-01,前田建設工業株式会社,ゼネコン,53,■事業内容：国内外土木建築工事その他建設工事全般の請負、企画、測量、設計、施工、監理及びコンサルティング、不動産の売買、賃貸、仲介、管理及び鑑定、地域開発、都市開発、海洋開発、資源開発、エネルギー開発に関する事業並びにこれらに関する請負、企画、設計、監理、施工、マネジメント及びコンサルティング,東京都千代田区富士見2-10-2,1946,,3310,"28,463百万円",43.4,http://www.maeda.co.jp/index.html,
2024-08-01,東芝プラントシステム株式会社,プラントメーカー・プラントエンジニアリング,2,■事業内容： 当社は、1923年の創業以来、東芝の重電部門及び社会インフラ部門の施工機能を分担する企業として発展し、現在では、企画、設計などのエンジニアリングから調達、施工、フィールドサービスまでを一貫して行う総合エンジニアリング企業としてグローバルに事業を展開しております。,神奈川県川崎市幸区堀川町72-34,1938,,3212,"11,876百万円",47.2,http://www.toshiba-tpsc.co.jp,
2024-08-01,三菱電機プラントエンジニアリング株式会社,プラントメーカー・プラントエンジニアリング,99+,■概要：同社は『技術、サービス、創造力の向上を図り、活力とゆとりのある社会の実現に貢献する』という三菱電機グループ企業理念のもと、地域に密着したフィールド・エンジニアリング会社として設立されました。電力・製造業・交通・公共・ビル等分野での、重電各種プラントに関するエンジニアリング･コンサルティングから建設工事、総合調整、遠隔監視・運転管理、保守・保全、マニュファクチャリングまでの事業を日本国内で展開しております。,東京都台東区東上野5-24-8住友不動産上野ビル6号館,1978,,3182,350百万円,42.8,https://www.mpec.co.jp/,
2024-08-01,大成有楽不動産株式会社,ディベロッパー,32,■事業概要：不動産・施設管理事業、住宅事業、損害保険・生命保険代理業を中心に事業展開を行っています。■事業詳細：同社は「不動産事業」「施設管理事業」という大きく2つの機能を有しております。マンション開発をはじめとして不動産の価値を生み出すことから、施設管理による価値を守ることまで、ワンストップで提供できることが強みです。・不動産事業：マンション開発、ビルアセット、プロパティマネジメント、不動産仲介、投資開発・施設管理事業：ビル管理、マンション管理、リニューアル工事、テクノセンター,東京都中央区京橋3-13-1有楽ビル,1971,,3012,"10,000百万円",,https://www.taisei-yuraku.co.jp/,
2024-08-01,三井不動産レジデンシャルサービス株式会社,不動産管理,69,■事業内容：（1）土地・建物および各種付属施設の管理・保守・保安・清掃の請負・受託（2）建物および各種付属設備の設計・施工・監理等の請負・受託（3）建築資材・建物付帯設備資材および器具、家具、電気照明器具・室内装飾用品・ 消火器・日用雑貨等の販売および斡旋,東京都江東区豊洲5-6-52NBF豊洲キャナルフロント,1973,,2892,400百万円,58.1,https://www.mitsui-kanri.co.jp/,
2024-08-01,メタウォーター株式会社,プラントメーカー・プラントエンジニアリング,99+,メタウォーターグループは国内外の「水道」「下水道」「資源リサイクル」という 3 つの事業領域において 「設計・建設（EPC）」から「運転・維持管理（O&M）」までを手掛け、更には「海外」「公民連携（PPP）」などの伸長分野にも積極的に取り組み、 持続可能な水・環境インフラの実現に貢献しています。■事業内容：上下水・再生水処理、海水淡水化等の水環境分野の各種装置類、施設用電気設備等の製造販売、各種プラントの設計・施工・請負等,東京都千代田区神田須田町1-25JR神田万世橋ビル,2008,プライム市場,3685,"11,946百万円",43.1,http://www.metawater.co.jp/,
2024-08-01,東急建設 株式会社,ゼネコン,11,■事業：東急グループの総合建設業として下記事業を展開①土木建築工事請負②土木建築工事に関する調査、企画、地質調査、測量、設計、管理及びコンサルティング業務③建物及び建築物の保守、管理④不動産の売買、賃貸及び仲介業務⑤土木建築工事用機械器具、仮設資材の製作、販売、賃貸及び修理⑥建設用コンクリート製品の製造及び販売■企業理念：・存在理念…わたしたちは安心で快適な生活環境づくりを通じて一人ひとりの夢を実現します・経営理念…挑戦する経営、人を活かす経営、顧客重視の経営、公正で開かれた経営・行動理念…自立、スピード、チームワーク、信頼,東京都渋谷区渋谷1-16-14渋谷地下鉄ビル,2003,プライム市場,2537,"16,354百万円",45.8,https://www.tokyu-cnst.co.jp/,
2024-08-01,鹿島建物総合管理株式会社,不動産管理,39,■事業内容同社は「建築物・設備管理」「清掃」「警備」「施設運営」「リニューアル」の5枠をベースに、建物のトータル管理事業を展開しています。「全ては一つの建物を支えるために」をポリシーに、クライアントの大切な資産を永続的に活かすため、ゼネコンのノウハウを活かした確かな技術とヒューマンウェアから、安全で快適な環境づくりに貢献しています。,東京都中央区銀座6-17-1銀座6丁目-SQUARE,1985,,2850,100百万円,45.8,https://www.kajima-tatemono.com/,
2024-08-01,株式会社穴吹コミュニティ,不動産管理,86,■事業概要：グループで展開する「サーパスマンション」をはじめ、分譲マンションやビル等の管理・修繕維持業務を通してマンションにお住まいの方々の快適な暮らしを守り、資産価値を維持し続ける事業に取り組んでいます。,香川県高松市藤塚町1-11-22穴吹工務店本社ビル7F,1990,,2769,200百万円,,http://www.anabuki-community.com/,
2024-08-01,日本工営株式会社,建設コンサルタント,15,■事業内容： 同社は日本を代表する総合技術コンサルタントとして国内外のプロジェクトに参画し、日本の政府機関をはじめ、数々の国際機関や企業から、高い評価と信頼を得ています。(1)建設コンサルタント事業(2)電力設備工事事業(3)電力機器装置製造事業,東京都千代田区麹町5-4,1946,プライム市場,2423,500百万円,43.1,http://www.n-koei.co.jp/,
2024-08-01,住友不動産建物サービス株式会社,不動産管理,93,■事業内容：（1）住友不動産が所有または分譲するビル・マンションの受託管理業務、不動産の総合管理業務（2）建物の環境整備及び環境衛生業務、建物及び建物付属設備工事の施工・設計・監理並びに請負（3）不動産管理の総合コンサルタント、不動産の売買・賃貸・仲介業務（4）住宅設備機器・住宅付帯設備機器及び内装品の斡旋販売、総合リース業務（5）警備業法に基づく警備業務、廃物廃品回収業務、煙草・印紙・切手及び日用雑貨の販売（6）損害保険代理業務並びに生命保険代理業務、貨物運送取扱業務、ハウスクリーニング業務、電気通信事業（7）前各号に付帯する一切の業務,東京都新宿区西新宿7-22-12泉ホシイチビル3F,1973,,3798,300百万円,41.5,http://www.sumitate.co.jp/,
2024-08-01,三井ホーム株式会社,住宅（ハウスメーカー）,4,注文住宅事業を中心とし、賃貸住宅事業・医院建築事業・大規模木造事業・商業デザイン事業・商品販売事業・海外事業・リフォーム事業 ほか,【本社】東京都江東区新木場1-18-6 新木場センタービル,1974,,2559,139億70万円,42.0,https://www.mitsuihome.co.jp/,代表取締役社長 池田 明
2024-08-01,ケイアイスター不動産株式会社,住宅（ハウスメーカー）,99+,私たちは地域密着型の総合不動産企業として、１都６県の関東全域と福岡・熊本・兵庫・愛知・静岡・仙台・福島で多角的な事業を展開。多様化するニーズやライフスタイル、エリアの特性に合った、オリジナリティとクオリティを追求した住まいづくりを実現しています。機能と美しさを融合させたデザイン住宅をはじめ、中古住宅の買取再販、さらにはアフターサービスまで幅広いサービスやブランド展開を行っています。そのため、様々なリソースを活かして、住まいづくりに関わるあらゆるニーズにお応えしています。,埼玉県本庄市西富田762-1,1990,プライム市場,2790,"4,816百万円",32.4,https://ki-group.co.jp/,
2024-08-01,野村不動産パートナーズ株式会社,不動産管理,99+,■事業概要：(1)マンションマネジメント事業…建物設備管理業務／管理組合運営サポート／建物修繕工事事業(2)ビルマネジメント事業…設備管理業務／警備業務／清掃業務／その他サポート業務(3)建築インテリア事業…建物調査診断／リニューアル工事／インテリア工事／建築・設備・通信工事等(4)プロパティマネジメント事業（マネジメントサービス）…プロパティマネジメント業務／オーナー代行業務（リーシング）…マーケティング調査／テナント募集(5)不動産取引業…不動産の売買・賃貸、仲介斡旋など,東京都新宿区西新宿1-26-2新宿野村ビル21F,1977,,5383,200百万円,36.5,http://www.nomura-pt.co.jp/,
2024-08-01,株式会社ＮＴＴファシリティーズ,建築設計事務所,99+,■企業概要:1. 建築物・工作物全般、電気通信・コンピュータ用電力設備並びに情報通信システムに係わる次に掲げる業務(1) 設計、監理及び工事の請負 (2) 保守、維持管理及び修繕 (3) コンストラクションマネジメント（発注主代理による建設プロジェクトの管理、調整） (4) 清掃、害虫駆除及び環境測定 (5) 調査及び研究開発 (6) 設備機器の開発、販売及び賃貸 (7) ソフトウェアの開発、製作、販売及び賃貸 (8) 一般・産業廃棄物の収集・運搬・処理,東京都港区芝浦3-4-1グランパークタワー,1992,,5300,"12,400百万円",,http://www.ntt-f.co.jp/,
2024-08-01,前田道路株式会社,ゼネコン,45,■事業内容：土木建築工事の請負、設計ならびに監督、土木建築工事の諸材料の製造販売等,東京都品川区大崎1-11-3,1930,,2435,"19,350百万円",40.8,http://www.maedaroad.co.jp,
2024-07-01,大和リース株式会社,土地活用,5,規格建築事業└官公庁施設、PPP・PFI、システム建築の施工、プレハブ建築へのリース流通建築リース事業└土地活用、商業施設の開発・運営管理リーシング ソリューション事業└各種機械器具・車輛・福祉ロボットなどのリース、カーシェアリング、自走式立体駐車場の建設環境緑化事業└屋上・壁面・室内・外構・駐車場緑化、再生可能エネルギーの利用等による発電・売電,大阪府大阪市中央区農人橋2丁目1番36号 ピップビル,1959,,2368,"217億6,838万2,519円",,https://www.daiwalease.co.jp/,代表取締役社長 北 哲弥
2024-08-01,株式会社日建設計,建築設計事務所,7,【同社について】日本を代表する大手設計事務所であり、アジアやヨーロッパ等の建築物コンペにも積極的に参加しております。,東京都千代田区飯田橋2-18-3,1950,,3041,460百万円,42.0,http://www.nikken.co.jp/ja/,
2024-08-01,パシフィックコンサルタンツ株式会社,建設コンサルタント,53,■事業内容土木・建築（系総合）コンサルタントとして、都市・地域計画、環境、情報、道路、鉄道、河川、上下水道、港湾、空港、建築、福祉、教育、医療、安全保障などの社会資本を支えるさまざまなプロジェクトに、技術的なトータルサービスを提供しています。最近では、民間の資金やノウハウを公共サービスに活用するPFI（Private Finance Initiative）事業にも積極的に取り組んでいます。※創立1951年9月（日本法人設立1954年2月）,東京都千代田区神田錦町3-22(テラススクエア),1954,,2122,820百万円,45.1,https://www.pacific.co.jp/,
2024-08-01,新菱冷熱工業株式会社,サブコン,55,■事業内容：・各種設備工事（空気調和設備、給排水衛生、自動制御設備、防災設備、電気設備、都市設備、情報管理システム設備、コージェネレーション設備、燃料エネルギー設備、環境衛生設備、プラント設備、低温設備、特殊設備工事）・建築工事の設計、施工・空調機器類販売,東京都新宿区四谷1-6-1,1956,,2262,"3,500百万円",,https://www.shinryo.com/index.html,
2024-08-01,東電タウンプランニング株式会社,建設コンサルタント,10,■概要：同社は「配電事業」「電柱広告事業」「無電柱化・地域開発事業」を柱とする総合的な街づくり企業として事業運営を行っています。■事業内容： ・配電事業…家庭や商業ビル等に信頼度の高い電気を届けるために配電設備（電柱や電線、道路下に埋設されたケーブルなど）の設計、測量、竣工検査、定期的な巡視・点検業務を担っています。・広告事業…配電柱等を媒体として街の身近な誘導案内広告や地域に役立つ公共情報を提供し、屋外広告物としての法令遵守はもとより、景観に調和したデザインや万全な安全管理によって地域に喜ばれるサービスを担っています。・無電柱化・地域開発事業・CS事業…東京電力の資産,東京都港区海岸1-11-1ニューピア竹芝ノースタワー 6F,2001,,2308,100百万円,,https://www.ttplan.co.jp/,
2024-07-01,大栄環境株式会社,プラントメーカー・プラントエンジニアリング,4,■事業内容：・環境関連事業（廃棄物処理・資源循環・土壌浄化・施設建設・運営管理・コンサルティング・エネルギー創造・森林保全等）・有価資源リサイクル事業（アルミペレット・リサイクルプラステックパレットの製造、販売）,大阪府和泉市テクノステージ2-3-28,1979,プライム市場,2625,"5,907百万円",42.0,http://www.dinsgr.co.jp/,
