更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,エヌ・ティ・ティ・コムウェア株式会社,システムインテグレータ（SIer）,99,■事業内容：・情報通信システム及びこれに関わるソフトウェアまたは各種装置の開発、製作、運用、保守及びそれらの受託、各種装置の販売及び賃貸・電気通信事業法に基づく電気通信事業、電気通信工事の請負・通信機器及び各種ネットワークサービスの販売取次業務・情報処理サービス業並びに情報提供サービス業・ネットワークを介して提供される音声、映像、文字等のコンテンツ製作及び販売・上記に関する企画、調査、研究、研修及びコンサルティングの受託,東京都港区港南1-9-1,1997,,44.8,7357,"20,000百万円",http://www.nttcom.co.jp/,
2024-08-01,三菱電機ソフトウエア株式会社,システムインテグレータ（SIer）,70,三菱電機ソフトウエア株式会社は、三菱電機グループのソフトウエア設計子会社6社が2022年4月1日に経営統合し、グループ全体のソフトウエア設計の中核を担う新会社として誕生しました。■事業内容：社会インフラ事業、モビリティ事業、電子システム事業、FA・ファシリティ事業に関わるシステム・ソフトウエア・周辺機器等の研究開発、設計、製造、販売及び各種サービスの提供,東京都港区浜松町2-4-1世界貿易センタービルディング南館29F,2022,,43.1,4700,"1,000百万円",https://www.mesw.co.jp/index.html,
2024-08-01,伊藤忠テクノソリューションズ株式会社,システムインテグレータ（SIer）,99+,～Challenging Tomorrow's Changes 豊かな未来に向けてITの可能性に挑戦する～■事業内容：伊藤忠テクノソリューションズ社（略称：CTC）は、業界トップクラスの売り上げ規模と実績を誇る、総合ITソリューションベンダです。,東京都港区虎ノ門4-1-1神谷町トラストタワー,1979,,,5309,"21,764百万円",http://www.ctc-g.co.jp,
2024-08-01,東日本電信電話 株式会社（NTT東日本）,通信キャリア・ISP・データセンター,99+,"最先端のICT（AI,IoT,クラウド等）を生かした新たなサービスの開発・販売、通信回線や基幹ネットワークの構築・運用、グループ事業戦略立案・推進を通して、ビジネス・ライフスタイルの革新、安心・安全な社会を実現する会社です。■事業内容：NTT東日本グループはすべての事業活動を通じ、社会の持続的な発展に貢献していくことを経営の基本姿勢として、社員一人ひとりが事業活動を通じてCSR活動に取り組んでおり、ICTを活用した付加価値の高いサービスをさまざまな分野に提供することで、「持続可能な開発目標（SDGs）」の達成に向けて取り組んでまいります。",東京都新宿区西新宿3-19-2,1999,,40.4,4950,"335,000百万円",http://www.ntt-east.co.jp/,
2024-08-01,株式会社日立ソリューションズ,システムインテグレータ（SIer）,91,当社は、国内外問わずあらゆる業種に顧客を持ち、社会が抱える多種多様な問題や、お客様の経営課題を、ITの力で解決するソリューションプロバイダーです。 生活を便利にするシステムや最新技術を用いた先進的なプロダクトの開発等、幅広い事業で社会の発展に貢献しています。変化するニーズにスピード感を持って対応し、革新的なソリューションを世界に向けて展開していきます。,東京都品川区東品川4-12-7日立ソリューションズタワー,1970,,,4607,"20,000百万円",http://www.hitachi-solutions.co.jp/,
2024-08-01,株式会社インターネットイニシアティブ/IIJ（東証プライム）,通信キャリア・ISP・データセンター,99+,■概略：1992年、日本で初めてインターネットの商用化を目的とした会社として設立。 ネットワーク技術の分野においてイニシアティブを取り続け、日本のインターネット業界をリードしてきました。日本のインターネットの歴史ともいえる同社は、現在トータル・ネットワーク・ソリューションの提供により、事業を拡大しています。,東京都千代田区富士見2-10-2飯田橋グラン・ブルーム,1992,プライム市場,37.9,4803,"23,023百万円",http://www.iij.ad.jp,
2024-08-01,キヤノンシステムアンドサポート株式会社,システムインテグレータ（SIer）,38,■事業内容：1980年の設立以来、キヤノングループにて製造する、機器・ソリューションならびに他社製システム機器のコンサルティングセールスやオフィスのネットワーク構築、サポート、メンテナンスサービスを行っています。,東京都港区港南2-16-6キヤノンSタワー,1980,,44.3,4555,"4,561百万円",https://canon.jp/system-and-support,
2024-08-01,エフサステクノロジーズ株式会社,システムインテグレータ（SIer）,33,◆富士通グループ最大規模のICT企業◆全国約70拠点◆2024年に「富士通エフサス」を母体として新設された、ハードウェアソリューションのトータルプロバイダー◆【事業内容】富士通グループの中でもITインフラに強みを持つ企業として、ICTをコアとした企画・コンサル、設計・構築、プロダクト販売、導入・展開工事、運用、保守を網羅するトータルサービスを展開しております。クラウド、セキュリティ、モバイル、ソーシャル、AI、IoTなどの最新の技術動向も踏まえ、高品質かつスピーディーなワンストップサービスで、お客様に安心して活用いただける最適なシステムを目指しています。,神奈川県川崎市中原区中丸子13-2,2024,,40.9,7500,500百万円,https://www.fsastech.com/about/,
2024-08-01,富士通コミュニケーションサービス株式会社,ITアウトソーシング,35,■事業内容：「コンタクトセンター」および「ITサポート」のアウトソーシングサービス,神奈川県横浜市西区みなとみらい4-4-5横浜アイマークプレイス,1994,,41.0,4400,100百万円,http://jp.fujitsu.com/group/csl/,
2024-08-01,ＮＥＣフィールディング株式会社,システムインテグレータ（SIer）,69,"■企業概要：【NECフィールディング (デジタル環境から人の暮らしまで トータルサポートカンパニー)】NECグループの一員として、ICTシステムの企画/設計から導入/構築、運用/監視、保守、改善に至る全ての領域でサービスを提供するITサポートサービス会社です。CS（お客さま満足）を事業の根幹とし、豊富な経験やスキルを持つエンジニアで迅速・的確なサービスを24時間365日提供することで、NECグループが掲げる ""安全・安心・公平・効率という社会価値を創造し、誰もが人間性を十分に発揮できる持続可能な社会""の実現を目指します。",東京都港区三田1-4-28三田国際ビル,1957,,,4482,"9,670百万円",https://www.fielding.co.jp/,
2024-08-01,株式会社エヌ・ティ・ティ エムイー,通信キャリア・ISP・データセンター,1,■事業内容【電気通信及び情報通信等に関する事業】 電話網・県間通信ネットワークを含めたIP網の構築・維持・運用・サービス品質管理 電気通信及び情報通信に関する技術支援・人材育成【ビジネスサポートに関する事業】 【一般のお客さま向けソリューション事業】 インターネット接続サービスの提供（ISP） 環境ソリューションの提供【NTT東日本向けソリューション・サポート事業】 SI/MIソリューション･サポートの提供 社内システム･ネットワークの開発・構築・運用 保守サポートの提供（ワンストップ監視・保守、セキュリティ運用 等）,東京都新宿区西新宿3-19-2,1999,,44.9,13000,100百万円,https://www.ntt-me.co.jp/,
2024-08-01,株式会社インテック,システムインテグレータ（SIer）,56,■事業概要：ITコンサルティング、システムインテグレーション、ソフトウェア、アウトソーシング、ネットワーク、クラウドソリューション、CRMソリューション、情報セキュリティソリューション、業種別ソリューション,富山県富山市牛島新町5-5,1964,,40.5,3897,"20,830百万円",https://www.intec.co.jp/,
2024-08-01,キヤノンITソリューションズ株式会社,システムインテグレータ（SIer）,99+,■主要事業：SIおよびコンサルティング、各種ソフトウエアの開発・販売,東京都港区港南2-16-6キヤノンSタワー,1982,,41.2,3734,"3,617百万円",http://www.canon-its.co.jp/,
2024-08-01,株式会社日立ソリューションズ・クリエイト,システムインテグレータ（SIer）,47,■事業内容： ・システムの設計、構築、運用、保守、コンサルテーション・ソフトウェアパッケージの開発、販売及び各種ソフトウェアの受託開発・情報処理サービス及び情報処理機器の販売、保守・タクシー決済サービス・BPOサービス,東京都品川区東品川4-12-6品川シーサイドキャナルタワー,1976,,40.0,3433,450百万円,https://www.hitachi-solutions-create.co.jp/,
2024-08-01,株式会社セラク,ITコンサルティング,42,【東証上場企業】設立以来36期連続黒字経営の当社では、主に長期継続のITインフラ・ITシステム運用を中心として安定成長の見込めるSI（システムインテグレーション）事業と先端技術などを活用することで高収益モデルとなるDX（デジタルトランスフォーメーション）事業を展開しています。,東京都新宿区西新宿7-5-25西新宿プライムスクエア6F,1987,スタンダード市場,30.3,3399,311百万円,https://www.seraku.co.jp/,
2024-08-01,株式会社日立産業制御ソリューションズ,システムインテグレータ（SIer）,43,当社はIT(情報)とOT(制御)を融合させた幅広い事業フィールドがあります。お客さまとともに未来を創る会社です。『ＯＴ×デジタル』でワクワクする未来をつくる当社は「人々の生活を安全・安心で豊かにするため、優れた技術で新しい価値を提供し、社会の発展に貢献する」をミッションとしてまい進しています。当社が強みとするOTを軸として、AIや画像応用、データ分析などのデジタル技術と組み合わせることで、ユニークなサービスを展開し、OT×デジタルの分野で唯一無二の存在となることをめざしています。,東京都台東区秋葉原6-1,2014,,,3511,"3,000百万円",http://www.hitachi-ics.co.jp/,
2024-07-01,日本タタ・コンサルタンシー・サービシズ株式会社,システムインテグレータ（SIer）,25,日本タタ・コンサルタンシー・サービシズ（以下、日本TCS）は、タタコンサルタンシーサービシズ（以下、TCS）と三菱商事の合弁会社です。TCSは、世界中の一流企業をITやデジタル技術で支援し、多種多様な業界の知見やベストプラクティスを蓄積しています。日本TCSは、世界と日本の知見を融合し、最高のソリューションと、圧倒的な拡張性、ケイパビリティ、スピード、品質で、日本企業のグローバル化およびビジネス変革の実現をお約束します。AIやIoTをはじめとするデジタル技術や従来のITを組み合わせ、コンサルティングから設計、開発、運用、保守まで一元化されたワンストップサービスをアジャイルに提供しています。,東京都港区麻布台1-3-1麻布台ヒルズ森JPタワー10F,2014,,,3700,60百万円,http://www.tcs.com/worldwide/jp/ja/Pages/default.aspx,
2024-08-01,三菱電機インフォメーションネットワーク株式会社,システムインテグレータ（SIer）,54,～三菱電機グループの中で社内情報システム及び通信インフラを支えている会社です～■概要：2014年10月1日付けで、（旧）三菱電機情報ネットワーク株式会社（略称：MIND）と（旧）三菱電機インフォメーションテクノロジー株式会社（略称：MDIT）が経営統合を行い、設立した会社です。,東京都港区芝浦4-6-8,2014,,46.0,2824,"1,250百万円",http://www.mind.co.jp,
2024-07-01,ＯＫＩクロステック株式会社,システムインテグレータ（SIer）,8,■事業内容： ICTインフラ（情報通信）、電気設備、消防施設、電気通信設備、オフィス環境の企画・設計構築、設置・施工・運用・保守・監視◇ICTインフラの設計構築、設置工事、運用保守サービス、ならびにトータルサービス◇電気設備、消防設備、電気通信設備の設計・施工・保守・監視◇ハードウェア、ソフトウェア、サービスなどの販売,東京都中央区晴海1-8-11晴海アイランドトリトンスクエアオフィスタワーY棟26F,1960,,45.0,2974,"2,001百万円",https://www.oki-oxt.jp/,
2024-08-01,株式会社オプテージ,通信キャリア・ISP・データセンター,31,■事業内容：・電気通信事業・有線一般放送事業・小売電気事業・警備業・情報システム、電気通信ならびに放送に関するシステム開発、運用、保守業務の受託,大阪府大阪市中央区城見2-1-5オプテージビル,1988,,38.9,2870,"33,000百万円",https://optage.co.jp/,
2024-08-01,東京コンピュータサービス株式会社,システムインテグレータ（SIer）,2,■事業内容：・システムインテグレーションサービス・システムコンサルティング・各種ソフトウェア開発・その他コンピュータ関連事業,東京都中央区日本橋本町4-8-14東京建物第3室町ビル,1974,,37.1,2900,100百万円,http://www.tcs-ipnet.co.jp/,
2024-08-01,SCSKサービスウェア株式会社（SCSK株式会社100%出資）,ITアウトソーシング,47,■ITマネジメントサービス（システム運用管理・ヘルプデスク）■テクニカル系・業務系コンタクトセンター運営サービス■業務プロセス調査・分析サービス■業務アウトソーシングサービス（BPOサービス）■株主SCSK株式会社（100％）■オフィス東京、大阪、名古屋■BPOセンター札幌、岩手、新宿、多摩、横浜、福井、中部、関西、島根、北九州、福岡、大分、沖縄※11都道府県・20センター,■本社：東京都江東区豊洲3-2-24 豊洲フォレシア12F,1983,,,5552,6億2000万円／資本準備金含,http://www.scskserviceware.co.jp/,代表取締役社長 渡辺 篤史
2024-08-01,株式会社トヨタシステムズ,システムインテグレータ（SIer）,64,■会社概要：同社はトヨタ自動車100％出資会社として、設計・生産・物流・販売・金融などの各分野において、トヨタグループの中心的役割を担う情報システム会社です。,愛知県名古屋市東区泉1-23-22,2019,,39.6,3192,"5,450百万円",https://www.toyotasystems.com/,
2024-08-01,京セラコミュニケーションシステム株式会社,システムインテグレータ（SIer）,9,同社、京セラコミュニケーションシステム株式会社（以下KCCS）は、1995年に京セラから分離・独立し、情報・通信システムを生業として事業を開始。現在は、「ICT」「通信エンジニアリング」「環境エネルギーエンジニアリング」「経営コンサルティング」の4つの事業を展開している。成長著しいこれらの分野で、4つの事業のシナジー効果を最大限に発揮し新規事業を創出。さらには海外へと事業を拡大している。,京都府京都市伏見区竹田鳥羽殿町6京セラ本社ビル内,1995,,38.7,3910,"2,985百万円",http://www.kccs.co.jp/,
2024-08-01,日本コムシス株式会社,システムインテグレータ（SIer）,14,■事業内容：（1）NTT事業…アクセス（NTT所外）光ファイバ等敷設工事、ネットワーク（NTT所内）交換・伝送装置の配置廃線 ほか（2）ドコモ事業…携帯電話基地局、無線中継基地局建設 ほか（3）ICTソリューション事業…サーバ・ストレージ、ネットワーク／インフラ、保守 ほか（4）社会システム関連事業…通信土木・一般土木、一般電気設備、電線共同溝（C・C・BOX）建築、建築付帯設備、環境・エコソリューション ほか,東京都品川区東五反田2-17-1,1951,,44.9,2814,"10,000百万円",http://www.comsys.co.jp/,
2024-08-01,株式会社日立社会情報サービス,システムインテグレータ（SIer）,27,■企業概要当社は社名からも分かるように、社会全般のお客さまを中心としたSEの会社です。私たちが作り出す情報システムは、国や自治体、教育機関などの業務改革を支援するものであり、市民生活や企業活動の利便性を向上させるものです。顧客の信頼にこたえる、新たな価値を提供し続ける会社であるため、私たちは人財を育て、プロフェッショナルに作り上げることを使命と考えております。,東京都品川区南大井6-26-3大森ベルポートD館 17F,1986,,39.9,2940,500百万円,https://www.hitachi-sis.co.jp/index.html,
2024-08-01,横河ソリューションサービス株式会社,システムインテグレータ（SIer）,19,■事業内容：制御・計測機器等の販売、保守サービス、電気計装工事、トータルソリューション展開及びエンジニアリング事業,東京都武蔵野市中町2-9-32,2013,,,2573,"3,000百万円",http://www.yokogawa.co.jp/,
2024-08-01,日本ビジネスシステムズ株式会社【JBS】,システムインテグレータ（SIer）,60,■概要：JBSはクラウドプラットフォームをメインとした先端ITソリューション提供のリーディングカンパニーです。クライアントの経営事業成長および業務改善をミッションに、コンサルティングからソリューション導入、運用までをトータルに手掛けるプライムベンダとして、圧倒的な実績を誇っております。マイクロソフトソリューションにおいては、業界トップクラスの立ち位置を確立しております。その証として「マイクロソフト パートナーオブザイヤー」を11年連続で受賞しております。各業界を代表する大手企業を中心に直接取引しており、商流の最上流からサービスを提供いたします。,東京都港区虎ノ門2-6-1虎ノ門ヒルズステーションタワー,1990,スタンダード市場,34.0,2509,539百万円,http://www.jbs.co.jp/,
2024-08-01,ユニアデックス株式会社,システムインテグレータ（SIer）,21,■事業内容：情報／通信システム構築に係わる企画／設計／開発の受託、コンピューターシステムの運用/管理の受託、ハードウエア／ソフトウエアの販売/賃貸ならびにソフトウエアの開発、コンピューターシステムの構築、導入、利用およびソフトウエア開発に関する情報ならびにサービスの提供、コンピューターシステムの保守サービス、コンピューターの関連機器、付属品の開発／製造ならびに販売、電気工事および電気通信工事の請負／設計／施工ならびに監理、電気通信事業法に定める電気通信事業、医療関連コンピューター機器の販売・賃貸および保守サービス,東京都江東区豊洲1-1-1,1997,,42.6,2512,750百万円,http://www.uniadex.co.jp/,
2024-08-01,トーテックアメニティ株式会社,システムインテグレータ（SIer）,99+,■事業内容：ITソリューション事業：自治体、学校、図書館、医療、製造、流通、サービス、情報通信、金融など、様々な分野における情報システム構築エンジニアリングソリューション事業：自動車、航空機、FAシステム、精密機器など、日本を代表する製造業の技術開発業務検証ソリューション事業：第三者検証と開発内部検証のそれぞれで培ったノウハウを活かし、検証者の視点でお客様のモノづくり全般を支援,愛知県名古屋市西区名駅2-27-8,1971,,35.0,3457,100百万円,https://totec.gr.jp/,
2024-06-01,ニッセイ情報テクノロジー株式会社（日本生命グループ）,システムインテグレータ（SIer）,2,■事業内容：日本生命グループのIT戦略を担う会社として1999年に誕生しました。設立以来、保険契約の販売・管理、資産運用から会計・人事に至るまで、保険会社の全ての業務に関する豊富なノウハウを活かしながら、日本生命のみならず多くの保険会社や金融機関に多様なシステムソリューションを提供しています。また医療・介護領域にも進出し、「ITのチカラ」で社会に安心を届けています。・保険および金融に関するシステムサービス、医療および介護に関するシステムサービス・ネットワークサービス、アウトソーシング、収納代行 等,東京都大田区蒲田5-37-1,1999,,39.7,2535,"4,000百万円",https://www.nissay-it.co.jp/,
2024-08-01,日本電気通信システム株式会社,通信キャリア・ISP・データセンター,54,■概要：NEC通信システムは、NECの創業時からの事業である通信を担い、日本はもとより世界の通信ネットワークの開発と構築を推進してきました。人・車・ものなど全てがつながる未来社会に向けて「Connect++（コネクトプラス）」をコンセプトに通信とネットワークセキュリティを基に新たな社会価値を創造していきます。,東京都港区三田1-4-28三田国際ビル,1980,,44.0,2452,"1,000百万円",http://www.ncos.co.jp/,
2024-08-01,三菱総研ＤＣＳ株式会社,システムインテグレータ（SIer）,99+,■事業内容：三菱総合研究所(MRI)、三菱UFJフィナンシャル・グループ(MUFG)、三菱UFJリサーチ&コンサルティング(MURC)を加えた4社連携での戦略的業務提携を基軸に、ITコンサルテーションからシステムの設計・開発、運用／処理に至るITトータルソリューションを提供しています。上記提携により、従来のシステム開発に加え、業務コンサルおよびITコンサルの領域をパワーアップし、加えて高品質のシステム構築／運用／処理により、お客様企業の業務革新の実現を促進しながらベストソリューションを提案しています。,東京都品川区東品川4-12-2品川シーサイドウエストタワー,1970,,,2241,"6,059百万円",http://www.dcs.co.jp/,
2024-08-01,株式会社ラック,システムインテグレータ（SIer）,21,■概要：株式会社ラックはセキュリティソリューションサービスとシステムインテグレーションサービスの事業を展開しています。セキュリティ事業は、コンサルティングから診断、監視、事故対応までの一連のサービスをトータルでお客様に提供できるセキュリティ業界のリーディングカンパニーです。システムインテグレーション事業は、物販からインフラ構築、アプリケーション開発、運用保守まで一気通貫でお客様のビジネスをご支援できます。堅牢性が求められる官公庁や金融機関などとの長年に及ぶ堅固な信頼関係がありお客様から大変ご評価されております。,東京都千代田区平河町2-16-1平河町森タワー,2007,スタンダード市場,39.0,2137,"1,000百万円",http://www.lac.co.jp/,
2024-07-01,東芝テックソリューションサービス株式会社,ベンダ（ハードウェア・ソフトウェア）,10,■事業内容：1) POSシステム、電子レジスター、電子はかり、プリンター、オフコンなどの設置、立上げ、保守点検およびインストラクション2) システム・ネットワーク構築から運用・サポート。経営課題解決に伴う各種ソリューションサービス・各種アプリケーションのインストラクト(教育)・各種ハードウェアのセットアップ、導入サポート3) コピー、プリンター、ファックス、スキャナの機能を兼ね備えた東芝ブランドのデジタル複合機の設置及び保守点検,東京都品川区東五反田2-17-2オーバルコート大崎マークイースト,1973,,,2282,100百万円,https://www.toshibatec-ttss.co.jp/ttss/,
2024-08-01,株式会社アグレックス,システムインテグレータ（SIer）,29,■社風：過去に同社の社員像を社員自身にアンケート調査した結果、「誠実さ」「真面目さ」と答えた社員が大変多かった、という結果があります。顧客からも丁寧で誠実な仕事は高い評価を得ており、高い品質を産み出すためのチームワーク・社員の成長を重視する社風です。■中途社員が働きやすい環境：5割以上の方が中途入社で、中途入社の方も溶け込みやすい環境です。,東京都新宿区西新宿3-20-2東京オペラシティビル38F,1965,,39.4,3331,"1,292百万円",http://www.agrex.co.jp/,
2024-08-01,ＦＰＴジャパンホールディングス株式会社,システムインテグレータ（SIer）,10,■事業内容： 同社はベトナム最大のIT企業、FPTソフトウェアの日本法人です。FPTソフトウェアは、「真にお客様に貢献できる会社」を目指すグローバルアウトソーシングカンパニーとして、現在世界に15の現地法人、8000名の社員を抱えています。・アプリケーションサービス：アプリケーション開発、アプリケーション保守・組み込みシステム開発：オートモーティブ、半導体、家庭用電化製品（プリンタ、デジタルカメラなど）の組み込みソフトウェア開発・クラウドサービス：クラウド化、SaaS化、クラウドアプリケーション開発・レガシーマイグレーション：Lotus Notes、COBOL、アプリケーション改善,東京都港区三田3-5-19住友不動産東京三田ガーデンタワー33F,2005,,,2500,300百万円,http://www.fpt-software.jp/Article/fptjapan,
2024-08-01,株式会社ＮＴＴデータ・アイ,通信キャリア・ISP・データセンター,1,■事業内容：1.情報処理システムの企画、設計、開発および販売2.情報処理システムに係るソフトウェアおよびハードウェアの開発、販売、賃貸3.情報処理システムの運用および保守の受託4.情報処理システムに係る建設工事ならびにその他の建築工事および設備工事の請負5.電気通信事業6.前各号に関する企画、調査、研究、研修およびコンサルティングの受託7.労働者派遣事業（労働者派遣事業に関わる情報はこちら）8.その他前各号に関連する一切の事業,東京都新宿区揚場町1-18,2008,,39.0,1950,100百万円,"Failed to retrieve page, status code: 410",
2024-08-01,エヌ・ティ・ティ・アドバンステクノロジ株式会社,システムインテグレータ（SIer）,28,■概要：NTTグループの技術的中核企業。NTT研究所と連携しながら最新の研究成果を形にし世の中に広めており、研究成果という資源から新たな市場価値を持つシステム、サービス、商品を提供しています。また、同社で培われた技術力を生かし、知識豊富な技術者集団として独自のビジネスも展開しています。■設立背景：NTTグループの技術的中核企業である同社は、1976年、NTTの研究開発成果を産業界へ技術移転することを目的に、「日本通信技術株式会社」として発足しました。,東京都新宿区西新宿3-20-2東京オペラシティタワー,1976,,,1991,"5,000百万円",http://www.ntt-at.co.jp/,
2024-08-01,株式会社日立システムズエンジニアリングサービス,システムインテグレータ（SIer）,58,■企業概要：日立グループの「社会イノベーション事業」をITの力で支える中核企業の一つとして、幅広いフィールドで社会の課題解決に取り組んでいます。■事業内容：・システム開発（業務システム開発、組み込みソフト開発） ・プラットフォームソリューション（システム基盤構築） ・システム運用サービス（データセンター運用、業務運用・オペレーション、システム監視等） ・メールアーカイブソリューション（内部統制、情報漏えい防止、コンプライアンス、企業の社会的信用確保等）,神奈川県横浜市西区みなとみらい2-2-1横浜ランドマークタワー 32F,1970,,42.4,2087,250百万円,"Failed to retrieve page, status code: 410",
2024-08-01,ＴＩＳソリューションリンク株式会社,システムインテグレータ（SIer）,16,■企業概要1972年、銀行のシステム子会社としてスタートし、現在はTISインテックグループの一員ですが、外注比率が93％(TISインテックグループからの案件は7%程度)という独立採算型の収益体制があり、グループ会社に依存していない事が当社の大きな特徴です。現在はグループ外のシステム設計開発、インフラの設計構築等、上流フェーズから案件を積極的に手掛けております。,東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー,1972,,39.0,1915,230百万円,http://www.tsolweb.co.jp/,
2024-08-01,株式会社NTTデータ フィナンシャルテクノロジー,システムインテグレータ（SIer）,53,■企業概要：ＮＴＴデータシステム技術株式会社と株式会社NTTデータ・フィナンシャルコアが統合し、2022年4月1日に株式会社NTTデータ フィナンシャルテクノロジーを新設。金融分野の大規模なシステムインテグレーションなど両社がコアビジネスとして担ってきた領域を堅持しながら、金融機関の次世代サービスの実現をサポートできる開発体制を構築しています。,東京都港区海岸1-2-3汐留芝離宮ビル 19F,2022,,,1906,100百万円,https://www.nttdft.com/,
2024-08-01,ＮＥＣネクサソリューションズ株式会社,システムインテグレータ（SIer）,75,【世界トップクラス・国内最大級総合ICTベンダーNECグループ/安定した事業基盤・同社ならではの独自性を保有/ワークライフバランス】■企業概要全世界10万人以上/売上2兆円を超える世界トップクラス・国内最大級総合ICTベンダーNECグループの企業。NECが持つ世界トップクラス・先端技術と、中堅・中規模マーケット/顧客向けのワンストップソリューションを掛け合わせが同社の強みです。,東京都港区芝3-23-1,1974,,45.0,1930,815百万円,http://www.nec-nexs.com/,
